<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^AEX,D,20241204.0,0,891.19,894.5,890.37,891.63,0.0,0
^AOR,D,20241204.0,0,8757.2,8757.2,8695.5,8728.5,0.0,0
^ATH,D,20241204.0,0,1429.89,1437.99,1427.95,1436.79,0.0,0
^BEL20,D,20241204.0,0,4237.39,4251.48,4229.79,4245.17,0.0,0
^BET,D,20241204.0,0,16057.73,16358.64,15539.42,16297.5,0.0,0
^BUX,D,20241204.0,0,77691.01,79201.19,77691.01,79047.81,2126610.0,0
^BVP,D,20241204.0,0,126139.09,126719.76,125828.01,126087.02,0.0,0
^CAC,D,20241204.0,0,7261.72,7322.86,7257.43,7303.28,0.0,0
^CDAX,D,20241204.0,0,1711.63,1733.37,1711.63,1730.04,0.0,0
^CRY,D,20241204.0,0,285.3501,285.3501,285.3501,285.3501,0.0,0
^DAX,D,20241204.0,0,20103.89,20260.61,20085.31,20232.14,0.0,0
^DJC,D,20241204.0,0,14221.51,14260.12,14170.25,14245.37,0.0,0
^DJI,D,20241204.0,0,44941.05,45073.63,44799.74,45014.04,419642662.0,0
^DJT,D,20241204.0,0,17173.47,17218.39,17031.98,17167.37,0.0,0
^DJU,D,20241204.0,0,1048.45,1053.43,1040.57,1045.1,0.0,0
^FMIB,D,20241204.0,0,33937.44,34270.87,33935.51,34083.91,0.0,0
^FTM,D,20241204.0,0,20892.74,21018.55,20892.74,21005.15,0.0,0
^HEX,D,20241204.0,0,9699.77,9745.7,9683.06,9697.81,0.0,0
^HSI,D,20241204.0,0,19722.15,19821.29,19618.19,19742.46,0.0,0
^IBEX,D,20241204.0,0,11890.1,11975.9,11890.1,11931.6,99899048.0,0
^ICEX,D,20241204.0,0,2311.74,2315.35,2297.35,2300.69,0.0,0
^IPC,D,20241204.0,0,50828.47,51370.12,50745.56,51249.8,0.0,0
^IPSA,D,20241204.0,0,6629.72,6644.79,6616.45,6631.36,0.0,0
^JCI,D,20241204.0,0,7199.69,7328.19,7187.58,7326.76,0.0,0
^KLCI,D,20241204.0,0,1606.97,1616.03,1606.53,1614.09,0.0,0
^KOSPI,D,20241204.0,0,2450.76,2483.04,2442.46,2464.0,667513000.0,0
