<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,Nazwa,Gielda
^AEX,D,20241206,0,894.7,895.11,890.68,891.67,0,0,,
^AOR,D,20241206,0,8742.4,8742.4,8687.8,8689.3,0,0,,
^ATH,D,20241206,0,1454.72,1460.74,1452.18,1456.52,0,0,,
^BEL20,D,20241206,0,4237.71,4253.47,4237.71,4242.64,0,0,,
^BET,D,20241206,0,16170.13,17053.86,16170.13,16650.41,0,0,,
^BUX,D,20241206,0,79279.81,79591.44,78689.5,79173.13,1203903,0,,
^BVP,D,20241206,0,127856.01,127871.8,125833.31,125945.67,0,0,,
^CAC,D,20241206,0,7334.14,7444.72,7334.14,7426.88,0,0,,
^CDAX,D,20241206,0,1744.18,1749.32,1742.16,1747.02,0,0,,
^CRY,D,20241206,0,286.3401,286.3401,286.3401,286.3401,0,0,,
^DAX,D,20241206,0,20374.54,20425.86,20331.24,20384.61,0,0,,
^DJC,D,20241206,0,14188.96,14216.97,14080.61,14097.95,0,0,,
^DJI,D,20241206,0,44824.29,44923.74,44596.46,44642.52,342149492,0,,
^DJT,D,20241206,0,17060.13,17126.96,16845.15,16879.4,0,0,,
^DJU,D,20241206,0,1046.97,1049.82,1032.69,1035.53,0,0,,
^FMIB,D,20241206,0,34658.93,34886,34648.82,34749.5,0,0,,
^FTM,D,20241206,0,20989.49,21110.29,20985.7,21059,0,0,,
^HSI,D,20241206,0,19611.62,19933.48,19573.08,19865.85,0,0,,
^IBEX,D,20241206,0,12106.3,12153.6,12059,12072,84593082,0,,
^ICEX,D,20241206,0,2273.45,2275.49,2263.14,2268.8,0,0,,
^IPC,D,20241206,0,51644.52,51819.76,51263.92,51348.8,0,0,,
^IPSA,D,20241206,0,6660.14,6682.67,6647.55,6648.65,0,0,,
^JCI,D,20241206,0,7307.32,7382.79,7288.94,7382.79,0,0,,
^KLCI,D,20241206,0,1615.85,1617.57,1611.25,1613.25,0,0,,
^KOSPI,D,20241206,0,2451.6,2459.24,2397.73,2428.16,617277000,0,,
^MCFTR,D,20241206,0,6142.69,6142.69,6142.69,6142.69,0,0,,
^MDAX,D,20241206,0,27132.8,27303.98,27132.8,27290.91,0,0,,
^MOEX,D,20241206,0,2527.04,2552.6,2505.9,2536.23,0,0,,
^MOEX10,D,20241206,0,4642.36,4686.76,4597.96,4663.55,0,0,,
^MRV,D,20241206,0,2211583,2247080.75,2159529.75,2202444.25,0,0,,
^NDQ,D,20241206,0,19743.96,19863.14,19734.42,19859.77,4603950675,0,,
^NDX,D,20241206,0,21458.58,21626.31,21449.62,21622.25,1094488929,0,,
^NKX,D,20241206,0,39371.56,39468.47,38940.44,39091.17,0,0,,
^NZ50,D,20241206,0,12896.95,12896.95,12809.586,12809.586,0,0,,
^OMXC25,D,20241206,0,1853.737,1856.224,1846.805,1855.911,0,0,,
^OMXR,D,20241206,0,867.702,876.115,865.506,875.906,0,0,,
^OMXS,D,20241206,0,2603.091,2617.657,2600.844,2614.268,0,0,,
^OMXT,D,20241206,0,1716.09,1718.53,1711.99,1713.16,0,0,,
^OMXV,D,20241206,0,1048.447,1054.673,1048.408,1053.205,0,0,,
^OSEAX,D,20241206,0,1687.2,1690.16,1661.74,1662.44,0,0,,
^PSEI,D,20241206,0,6692.95,6729.14,6645.28,6729.14,0,0,,
^PSI20,D,20241206,0,6425.87,6452.66,6326.01,6336.31,0,0,,
^PX,D,20241206,0,1708.59,1713.45,1704.19,1713.45,0,0,,
^RTS,D,20241206,0,770.02,804.69,763.57,803.62,0,0,,
^RTSTR,D,20241206,0,1945.22,1945.22,1945.22,1945.22,0,0,,
^SAX,D,20241206,0,296.92,296.92,296.92,296.92,0,0,,
^SDXP,D,20241206,0,13934.14,14011.99,13922.55,14001.95,0,0,,
^SET,D,20241206,0,1450.05,1454.97,1448.21,1451.96,0,0,,
^SHBS,D,20241206,0,277.2397,279.6263,276.8081,279.5292,44783200,0,,
^SHC,D,20241206,0,3370.9405,3418.2608,3364.2061,3404.0764,69818657200,0,,
^SMI,D,20241206,0,11764.87,11808.87,11747.88,11780.65,0,0,,
^SNX,D,20241206,0,81887.54,81925.53,81506.94,81709.12,0,0,,
