<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,Name,Exchange
HYLN.US,D,20250108.0,0,2.55,2.57,2.365,2.39,1388582.0,0,HYLIION HOLDINGS,NYSE
A.US,D,20250108.0,0,137.22,137.68,135.63,137.0,1684573.0,0,AGILENT TECHNOLOGIES,NYSE
AA.US,D,20250108.0,0,35.875,36.03,34.75,36.0,3775303.0,0,ALCOA,NYSE
AACT-WS.US,D,20250108.0,0,0.14,0.1437,0.12,0.13,519416.0,0,ARES ACQUISITION II,NYSE
AACT.US,D,20250108.0,0,11.0,11.0,10.98,10.98,246147.0,0,ARES ACQUISITION II,NYSE
AAM-WS.US,D,20250108.0,0,0.065,0.08,0.060401,0.070151,27768.0,0,AA MISSION ACQUISITION,NYSE
AAM.US,D,20250108.0,0,10.11,10.12,10.11,10.12,1043.0,0,AA MISSION ACQUISITION,NYSE
AAP.US,D,20250108.0,0,45.6,46.24,44.66,45.53,1549322.0,0,ADVANCE AUTO PARTS,NYSE
AAT.US,D,20250108.0,0,24.68,24.75,24.28,24.35,349698.0,0,AMERICAN ASSETS TRUST,NYSE
AB.US,D,20250108.0,0,36.07,36.93,35.9,36.87,206060.0,0,ALLIANCEBERNSTEIN HOLDING,NYSE
ABBV.US,D,20250108.0,0,179.2,179.24,176.18,178.5,4488519.0,0,ABBVIE,NYSE
ABEV.US,D,20250108.0,0,1.85,1.85,1.79,1.84,34736777.0,0,AMBEV,NYSE
ABG.US,D,20250108.0,0,238.68,243.48,237.57,241.99,103122.0,0,ASBURY AUTOMOTIVE GROUP,NYSE
ABM.US,D,20250108.0,0,50.01,51.03,49.77,50.97,301551.0,0,ABM INDUSTRIES,NYSE
ABNY.US,D,20250108.0,0,14.4795,14.52,14.3738,14.47,8401.0,0,YIELDMAX ABNB OPTION INCOME STRATEGY ETF,NYSE
ABR.US,D,20250108.0,0,13.58,13.63,13.32,13.49,2369531.0,0,ARBOR REALTY TRUST,NYSE
ABR_D.US,D,20250108.0,0,19.03,19.1,18.995,18.995,11184.0,0,ARBOR REALTY TRUST,NYSE
ABR_E.US,D,20250108.0,0,18.43,18.87,18.38,18.87,5789.0,0,ARBOR REALTY TRUST,NYSE
ABR_F.US,D,20250108.0,0,23.19,23.3,23.1824,23.1824,14571.0,0,ARBOR REALTY TRUST,NYSE
ABT.US,D,20250108.0,0,113.495,114.31,112.26,114.25,4455770.0,0,ABBOTT LABORATORIES,NYSE
AC.US,D,20250108.0,0,34.8001,35.505,34.4,35.2,3909.0,0,ASSOCIATED CAPITAL GROUP,NYSE
ACA.US,D,20250108.0,0,94.715,95.655,93.4,94.99,221168.0,0,ARCOSA,NYSE
ACCO.US,D,20250108.0,0,5.135,5.1607,5.04,5.11,548947.0,0,ACCO BRANDS,NYSE
ACEL.US,D,20250108.0,0,10.44,10.52,10.37,10.51,151277.0,0,ACCEL ENTERTAINMENT,NYSE
ACHR-WS.US,D,20250108.0,0,3.65,3.84,3.19,3.46,229549.0,0,ARCHER AVIATION,NYSE
ACHR.US,D,20250108.0,0,10.7,11.17,10.06,10.48,35098066.0,0,ARCHER AVIATION,NYSE
ACI.US,D,20250108.0,0,19.95,20.005,19.58,19.88,9867150.0,0,ALBERTSONS COS,NYSE
ACM.US,D,20250108.0,0,106.46,107.33,105.6,107.32,968168.0,0,AECOM,NYSE
ACN.US,D,20250108.0,0,360.49,363.5975,355.345,357.73,2217337.0,0,ACCENTURE,NYSE
ACP.US,D,20250108.0,0,5.91,5.95,5.9,5.95,381585.0,0,ABRDN INCOME CREDIT STRATEGIES FUND,NYSE
ACP_A.US,D,20250108.0,0,21.7531,21.8,21.65,21.65,3453.0,0,ABRDN INCOME CREDIT STRATEGIES,NYSE
ACR.US,D,20250108.0,0,17.2799,17.5,17.2,17.42,17607.0,0,ACRES COMMERCIAL REALTY,NYSE
