<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^AEX,D,20250107,000000,890.26,897.16,889.96,893.96,0,0
^AOR,D,20250107,000000,8517.2,8555.3,8517.2,8542.9,0,0
^ATH,D,20250107,000000,1490.14,1506.93,1485.83,1506.61,0,0
^BEL20,D,20250107,000000,4307.05,4319.96,4286.75,4300.56,0,0
^BUX,D,20250107,000000,79972.83,80915.16,79969.46,80677.32,1477754,0
^BVP,D,20250107,000000,120022.23,121713.23,120022.23,121162.66,0,0
^CAC,D,20250107,000000,7451.34,7516.95,7417.42,7489.35,0,0
^CDAX,D,20250107,000000,1722.16,1737.9,1717.59,1734.25,0,0
^CRY,D,20250107,000000,299.28,299.28,299.28,299.28,0,0
^DAX,D,20250107,000000,20206.04,20391.17,20152.7,20340.57,0,0
^DJC,D,20250107,000000,13493.55,13531.06,13379.71,13430.71,0,0
^DJI,D,20250107,000000,42809.71,42931.54,42380.75,42528.36,334738213,0
^DJT,D,20250107,000000,16078.25,16162.4,15987.58,16073.53,0,0
^DJU,D,20250107,000000,990.18,996.12,984.51,987.49,0,0
^FMIB,D,20250107,000000,34723.86,34952.25,34356.31,34938.9,0,0
^FTM,D,20250107,000000,20617.13,20617.13,20333.45,20350.37,0,0
^HEX,D,20250107,000000,9692.66,9751.21,9656.96,9726.74,0,0
^HSI,D,20250107,000000,19501.45,19668.65,19256.27,19447.58,0,0
^IBEX,D,20250107,000000,11797.4,11866.6,11724.6,11811.9,115949411,0
^ICEX,D,20250107,000000,2420.48,2428.37,2413.25,2419.63,0,0
^IPC,D,20250107,000000,49567.77,50259.11,49567.77,50085.5,0,0
^IPSA,D,20250107,000000,6780.03,6812.78,6780.03,6806.47,0,0
^JCI,D,20250107,000000,7085.69,7103.18,7030.15,7083.28,0,0
^KLCI,D,20250107,000000,1624.5,1634.27,1624.5,1629.79,0,0
^KOSPI,D,20250107,000000,2515.65,2521.86,2492.1,2492.1,397010000,0
^MDAX,D,20250107,000000,25699.77,25916.49,25691.82,25780.77,0,0
^MRV,D,20250107,000000,2801220.75,2867774.5,2765217.25,2822174.5,0,0
^NDQ,D,20250107,000000,19938.08,19940.21,19421.02,19489.68,6382636271,0
^NDX,D,20250107,000000,21619.89,21621.25,21101.09,21173.04,1228514708,0
^NKX,D,20250107,000000,39584.36,40288.8,39584.36,40083.3,0,0
^NZ50,D,20250107,000000,13042.059,13042.059,12981.852,13019.16,0,0
^OMXC25,D,20250107,000000,1786.239,1798.905,1778.876,1791.362,0,0
^OMXR,D,20250107,000000,872.119,877.977,871.45,877.977,0,0
^OMXS,D,20250107,000000,2545.196,2559.92,2529.635,2543.151,0,0
^OMXT,D,20250107,000000,1778.27,1781.64,1772.24,1773.27,0,0
^OMXV,D,20250107,000000,1097.817,1099.13,1090.504,1090.504,0,0
^OSEAX,D,20250107,000000,1690.69,1701.57,1682.55,1701.43,0,0
^PSEI,D,20250107,000000,6628.16,6640.99,6545.38,6545.38,0,0
^PSI20,D,20250107,000000,6427.11,6438.79,6385.42,6401.09,0,0
^PX,D,20250107,000000,1775.64,1792.24,1775.58,1786.43,0,0
^SAX,D,20250107,000000,298.81,298.81,298.18,298.18,0,0
^SDXP,D,20250107,000000,14024.05,14076.46,13980.3,14001.41,0,0
^SET,D,20250107,000000,1375.29,1395.7,1375.29,1390.88,0,0
^SHBS,D,20250107,000000,259.7823,262.1293,259.2911,262.1293,26517500,0
^SHC,D,20250107,000000,3203.3068,3230.8529,3190.4612,3229.6439,40966052900,0
^SMI,D,20250107,000000,11694.38,11830.77,11665.95,11830.77,0,0
^SNX,D,20250107,000000,78019.8,78452.68,77925.09,78199.11,0,0
^SOFIX,D,20250107,000000,894.9,895.08,887.88,887.88,0,0
^SPX,D,20250107,000000,5993.26,6000.68,5890.68,5909.03,2695892906,0
^STI,D,20250107,000000,3825.94,3836.04,3820.11,3828.17,0,0
^TDXP,D,20250107,000000,3482.36,3532.41,3479.72,3519.04,0,0
^TOP40,D,20250107,000000,76176.56,76176.56,75235.44,75404.5,0,0
^TSX,D,20250107,000000,25137.64,25197,24863.85,24929.89,0,0
^TWSE,D,20250107,000000,23824.72,23943.95,23651.27,23651.27,0,0
^UKX,D,20250107,000000,8249.66,8251.79,8190.5,8245.28,0,0
^XU100,D,20250107,000000,10079.29,10095.06,9972.03,9972.03,0,0
CNOCNY1M,D,20250107,000000,1.641,1.641,1.641,1.641,0,0
CNOCNY1W,D,20250107,000000,1.541,1.541,1.541,1.541,0,0
CNOCNY1Y,D,20250107,000000,1.685,1.685,1.685,1.685,0,0
CNOCNY2W,D,20250107,000000,1.616,1.616,1.616,1.616,0,0
CNOCNY3M,D,20250107,000000,1.655,1.655,1.655,1.655,0,0
CNOCNY6M,D,20250107,000000,1.667,1.667,1.667,1.667,0,0
CNOCNY9M,D,20250107,000000,1.676,1.676,1.676,1.676,0,0
CNOCNYON,D,20250107,000000,1.483,1.483,1.483,1.483,0,0
HUOHUF1M,D,20250107,000000,6.5,6.5,6.5,6.5,0,0
HUOHUF1W,D,20250107,000000,6.5,6.5,6.5,6.5,0,0
HUOHUF1Y,D,20250107,000000,6.42,6.42,6.42,6.42,0,0
HUOHUF2M,D,20250107,000000,6.5,6.5,6.5,6.5,0,0
HUOHUF2W,D,20250107,000000,6.5,6.5,6.5,6.5,0,0
HUOHUF3M,D,20250107,000000,6.5,6.5,6.5,6.5,0,0
HUOHUF6M,D,20250107,000000,6.49,6.49,6.49,6.49,0,0
HUOHUF9M,D,20250107,000000,6.46,6.46,6.46,6.46,0,0
HUOHUFON,D,20250107,000000,6.5,6.5,6.5,6.5,0,0
PLBPLN1M,D,20250107,000000,5.65,5.65,5.65,5.65,0,0
PLBPLN1W,D,20250107,000000,5.62,5.62,5.62,5.62,0,0
PLBPLN1Y,D,20250107,000000,5.43,5.43,5.43,5.43,0,0
PLBPLN2W,D,20250107,000000,5.62,5.62,5.62,5.62,0,0
PLBPLN3M,D,20250107,000000,5.64,5.64,5.64,5.64,0,0
PLBPLN6M,D,20250107,000000,5.6,5.6,5.6,5.6,0,0
PLBPLNON,D,20250107,000000,5.28,5.28,5.28,5.28,0,0
PLBPLNTN,D,20250107,000000,5.45,5.45,5.45,5.45,0,0
PLOPLN1M,D,20250107,000000,5.85,5.85,5.85,5.85,0,0
PLOPLN1W,D,20250107,000000,5.82,5.82,5.82,5.82,0,0
PLOPLN1Y,D,20250107,000000,5.63,5.63,5.63,5.63,0,0
PLOPLN2W,D,20250107,000000,5.82,5.82,5.82,5.82,0,0
PLOPLN3M,D,20250107,000000,5.84,5.84,5.84,5.84,0,0
PLOPLN6M,D,20250107,000000,5.8,5.8,5.8,5.8,0,0
PLOPLNON,D,20250107,000000,5.58,5.58,5.58,5.58,0,0
PLOPLNTN,D,20250107,000000,5.75,5.75,5.75,5.75,0,0
AUDCAD,D,20250107,000000,0.894692,0.899405,0.894258,0.895522,0,0
AUDCHF,D,20250107,000000,0.564719,0.569845,0.564475,0.566776,0,0
AUDEUR,D,20250107,000000,0.600768,0.60438,0.600677,0.602616,0,0
AUDGBP,D,20250107,000000,0.498556,0.501235,0.498556,0.499525,0,0
AUDJPY,D,20250107,000000,98.3873,99.1725,98.2634,98.5007,0,0
AUDPLN,D,20250107,000000,2.55494,2.57401,2.55432,2.56693,0,0
AUDUSD,D,20250107,000000,0.62419,0.62883,0.62281,0.62326,0,0
CADAUD,D,20250107,000000,1.1177,1.11824,1.11184,1.11666,0,0
CADCHF,D,20250107,000000,0.631188,0.634081,0.63044,0.6329,0,0
CADEUR,D,20250107,000000,0.67148,0.673628,0.66995,0.672921,0,0
CADGBP,D,20250107,000000,0.557237,0.558638,0.555818,0.557802,0,0
CADJPY,D,20250107,000000,109.967,110.457,109.843,109.992,0,0
CADPLN,D,20250107,000000,2.85566,2.87214,2.84759,2.86641,0,0
CADUSD,D,20250107,000000,0.697661,0.699393,0.695831,0.695976,0,0
CHFAUD,D,20250107,000000,1.77079,1.77155,1.75486,1.76436,0,0
CHFCAD,D,20250107,000000,1.58431,1.58619,1.57708,1.58002,0,0
CHFEUR,D,20250107,000000,1.06383,1.06429,1.05926,1.06323,0,0
CHFGBP,D,20250107,000000,0.882838,0.883311,0.878794,0.881344,0,0
CHFJPY,D,20250107,000000,174.223,174.908,173.556,173.791,0,0
CHFPLN,D,20250107,000000,4.52427,4.53402,4.50374,4.52901,0,0
CHFUSD,D,20250107,000000,1.10531,1.10827,1.09911,1.09966,0,0
EURAUD,D,20250107,000000,1.66453,1.66478,1.65458,1.65943,0,0
EURCAD,D,20250107,000000,1.48924,1.49264,1.48449,1.48605,0,0
EURCHF,D,20250107,000000,0.939995,0.944047,0.939592,0.940525,0,0
